Category: Arts & Entertainment

Day,brexit: (Worldwide)
2017-02-23,53
2017-02-24,57
2017-02-25,46
2017-02-26,53
2017-02-27,70
2017-02-28,67
2017-03-01,65
2017-03-02,71
2017-03-03,59
2017-03-04,47
2017-03-05,53
2017-03-06,59
2017-03-07,66
2017-03-08,61
2017-03-09,65
2017-03-10,54
2017-03-11,52
2017-03-12,56
2017-03-13,80
2017-03-14,92
2017-03-15,72
2017-03-16,80
2017-03-17,72
2017-03-18,56
2017-03-19,60
2017-03-20,100
2017-03-21,79
